wl.nm,irrad.W_m2_nm,flux.photon_m2_nm_s,irrad.mW_cm2_nm,flux.mA_cm2_nm
441,1.3313,2.95555E+18,0.13313,0.046470598
442,1.425,3.17074E+18,0.1425,0.049854099
443,1.4453,3.22318E+18,0.14453,0.0506787
444,1.4084,3.14798E+18,0.14084,0.049496299
445,1.4619,3.27492E+18,0.14619,0.051492196
446,1.3108,2.94303E+18,0.13108,0.046273786
447,1.4903,3.35355E+18,0.14903,0.052728445
448,1.5081,3.40119E+18,0.15081,0.053477598
449,1.5045,3.40065E+18,0.15045,0.053469026
450,1.5595,3.53282E+18,0.15595,0.055547131
451,1.6173,3.6719E+18,0.16173,0.057733896
452,1.5482,3.52281E+18,0.15482,0.055389729
453,1.4297,3.26037E+18,0.14297,0.051263335
454,1.5335,3.5048E+18,0.15335,0.055106569
455,1.5224,3.48709E+18,0.15224,0.05482819
456,1.5724,3.60953E+18,0.15724,0.056753365
457,1.5854,3.64736E+18,0.15854,0.057348068
458,1.5514,3.57695E+18,0.15514,0.056240996
459,1.5391,3.55634E+18,0.15391,0.055916923
460,1.5291,3.54093E+18,0.15291,0.055674645
461,1.5827,3.67302E+18,0.15827,0.0577515
462,1.5975,3.7154E+18,0.15975,0.058417986
463,1.6031,3.7365E+18,0.16031,0.058749658
464,1.5544,3.63081E+18,0.15544,0.057087958
465,1.535,3.59323E+18,0.1535,0.056496959
466,1.5673,3.67673E+18,0.15673,0.057809843
467,1.4973,3.52005E+18,0.14973,0.055346408
468,1.5619,3.67978E+18,0.15619,0.05785792
469,1.5682,3.70252E+18,0.15682,0.058215419
470,1.5077,3.56727E+18,0.15077,0.056088849
471,1.5331,3.63509E+18,0.15331,0.057155118
472,1.6126,3.8317E+18,0.16126,0.060246579
473,1.5499,3.69052E+18,0.15499,0.058026792
474,1.5671,3.73937E+18,0.15671,0.058794783
475,1.6185,3.87017E+18,0.16185,0.060851327
476,1.5631,3.74556E+18,0.15631,0.058892156
477,1.5724,3.77576E+18,0.15724,0.059367007
478,1.623,3.90544E+18,0.1623,0.061405908
479,1.5916,3.83789E+18,0.15916,0.060343873
480,1.6181,3.90994E+18,0.16181,0.06147667
481,1.6177,3.91712E+18,0.16177,0.061589517
482,1.6236,3.93958E+18,0.16236,0.061942655
483,1.6038,3.89961E+18,0.16038,0.061314202
484,1.5734,3.83361E+18,0.15734,0.06027653
485,1.5683,3.82908E+18,0.15683,0.060205285
486,1.2716,3.11107E+18,0.12716,0.048915954
487,1.4241,3.49134E+18,0.14241,0.05489505
488,1.5413,3.78643E+18,0.15413,0.059534778
489,1.4519,3.57412E+18,0.14519,0.056196505
490,1.6224,4.002E+18,0.16224,0.062924208
491,1.5595,3.8547E+18,0.15595,0.060608092
492,1.4869,3.68273E+18,0.14869,0.057904272
493,1.5903,3.94684E+18,0.15903,0.062056849
494,1.5525,3.86084E+18,0.15525,0.060704697
495,1.6485,4.10788E+18,0.16485,0.0645889
496,1.5676,3.91417E+18,0.15676,0.061543284
497,1.5944,3.98912E+18,0.15944,0.062721641
498,1.5509,3.88809E+18,0.15509,0.061133165
499,1.5507,3.8954E+18,0.15507,0.061248022
500,1.5451,3.88911E+18,0.15451,0.061149137
501,1.4978,3.77759E+18,0.14978,0.059395739
502,1.4966,3.7821E+18,0.14966,0.059466612
503,1.5653,3.96359E+18,0.15653,0.062320268
504,1.4587,3.70101E+18,0.14587,0.058191595
505,1.5635,3.97478E+18,0.15635,0.062496112
506,1.6264,4.14287E+18,0.16264,0.06513908
507,1.556,3.97137E+18,0.1556,0.062442645
508,1.5165,3.87819E+18,0.15165,0.060977535
509,1.5893,4.07237E+18,0.15893,0.064030575
510,1.5481,3.97459E+18,0.15481,0.062493223
511,1.5769,4.05647E+18,0.15769,0.063780628
512,1.6186,4.17189E+18,0.16186,0.065595377
513,1.5206,3.92695E+18,0.15206,0.061744189
514,1.4885,3.85155E+18,0.14885,0.060558582
515,1.5314,3.97026E+18,0.15314,0.062425152
516,1.5455,4.0146E+18,0.15455,0.063122247
517,1.2594,3.27776E+18,0.12594,0.051536862
518,1.4403,3.75583E+18,0.14403,0.059053611
519,1.3957,3.64655E+18,0.13957,0.057335443
520,1.5236,3.98839E+18,0.15236,0.06271018
521,1.5346,4.02491E+18,0.15346,0.063284398
522,1.569,4.12303E+18,0.1569,0.064827188
523,1.4789,3.89371E+18,0.14789,0.061221538
524,1.5905,4.19554E+18,0.15905,0.065967298
525,1.5781,4.17078E+18,0.15781,0.065577909
526,1.5341,4.06221E+18,0.15341,0.063870917
527,1.3417,3.5595E+18,0.13417,0.055966709
528,1.5357,4.08191E+18,0.15357,0.06418064
529,1.6071,4.27978E+18,0.16071,0.067291826
530,1.5446,4.12112E+18,0.15446,0.06479711
531,1.6292,4.35504E+18,0.16292,0.068475098
532,1.5998,4.2845E+18,0.15998,0.067366047
533,1.4286,3.8332E+18,0.14286,0.060270056
534,1.5302,4.11351E+18,0.15302,0.064677495
535,1.5535,4.18397E+18,0.15535,0.065785288
536,1.6199,4.37095E+18,0.16199,0.068725314
537,1.4989,4.05201E+18,0.14989,0.063710452
538,1.5738,4.26241E+18,0.15738,0.067018631
539,1.5352,4.16559E+18,0.15352,0.065496405
540,1.4825,4.03006E+18,0.14825,0.063365403
541,1.4251,3.8812E+18,0.14251,0.061024797
542,1.5511,4.23216E+18,0.15511,0.066543068
543,1.5256,4.17027E+18,0.15256,0.065569859
544,1.5792,4.32473E+18,0.15792,0.067998569
545,1.5435,4.23474E+18,0.15435,0.066583539
546,1.5291,4.20293E+18,0.15291,0.066083383
547,1.549,4.26542E+18,0.1549,0.067066012
548,1.5049,4.15156E+18,0.15049,0.06527576
549,1.552,4.28931E+18,0.1552,0.06744159
550,1.5399,4.26362E+18,0.15399,0.067037676
551,1.5382,4.26666E+18,0.15382,0.06708542
552,1.5697,4.36193E+18,0.15697,0.068583473
553,1.525,4.2454E+18,0.1525,0.066751144
554,1.5549,4.33646E+18,0.15549,0.068182978
555,1.5634,4.36804E+18,0.15634,0.068679453
556,1.5366,4.3009E+18,0.15366,0.067623767
557,1.4988,4.20264E+18,0.14988,0.066078872
558,1.531,4.30064E+18,0.1531,0.067619683
559,1.4483,4.07562E+18,0.14483,0.064081708
560,1.474,4.15536E+18,0.1474,0.065335505
561,1.5595,4.40425E+18,0.15595,0.069248756
562,1.4847,4.20047E+18,0.14847,0.06604482
563,1.5408,4.36695E+18,0.15408,0.068662309
564,1.5106,4.28896E+18,0.15106,0.067436081
565,1.5201,4.32358E+18,0.15201,0.067980499
566,1.4374,4.0956E+18,0.14374,0.06439584
567,1.532,4.37286E+18,0.1532,0.068755202
568,1.518,4.34054E+18,0.1518,0.068247044
569,1.4807,4.24134E+18,0.14807,0.066687292
570,1.4816,4.25137E+18,0.14816,0.066845098
571,1.4331,4.11942E+18,0.14331,0.064770365
572,1.5134,4.35786E+18,0.15134,0.068519391
573,1.5198,4.38394E+18,0.15198,0.068929448
574,1.5119,4.36876E+18,0.15119,0.06869082
575,1.4777,4.27738E+18,0.14777,0.067253959
576,1.4654,4.24915E+18,0.14654,0.066810144
577,1.5023,4.36371E+18,0.15023,0.06861139
578,1.456,4.23655E+18,0.1456,0.066612073
579,1.477,4.30509E+18,0.1477,0.067689732
580,1.502,4.38552E+18,0.1502,0.068954349
581,1.5089,4.41326E+18,0.15089,0.06939055
582,1.532,4.48854E+18,0.1532,0.070574123
583,1.5479,4.54292E+18,0.15479,0.071429103
584,1.5448,4.5416E+18,0.15448,0.071408325
585,1.5324,4.51285E+18,0.15324,0.070956429
586,1.4953,4.41112E+18,0.14953,0.069356902
587,1.5281,4.51558E+18,0.15281,0.070999226
588,1.4934,4.42055E+18,0.14934,0.069505186
589,1.2894,3.82319E+18,0.12894,0.060112764
590,1.3709,4.07175E+18,0.13709,0.064020863
591,1.4662,4.36218E+18,0.14662,0.068587415
592,1.4354,4.27778E+18,0.14354,0.067260236
593,1.4561,4.3468E+18,0.14561,0.068345454
594,1.4491,4.33319E+18,0.14491,0.068131592
595,1.4308,4.28567E+18,0.14308,0.067384442
596,1.4745,4.42399E+18,0.14745,0.069559232
597,1.4788,4.44434E+18,0.14788,0.069879134
598,1.4607,4.39729E+18,0.14607,0.069139455
599,1.4606,4.40435E+18,0.14606,0.069250332
600,1.4753,4.4561E+18,0.14753,0.070064065
601,1.4579,4.41088E+18,0.14579,0.069353111
602,1.436,4.35185E+18,0.1436,0.068424979
603,1.4664,4.45136E+18,0.14664,0.069989599
604,1.4921,4.53689E+18,0.14921,0.071334333
605,1.4895,4.53648E+18,0.14895,0.07132793
606,1.4822,4.52171E+18,0.14822,0.071095673
607,1.4911,4.55637E+18,0.14911,0.071640598
608,1.4862,4.54888E+18,0.14862,0.071522811
609,1.4749,4.52171E+18,0.14749,0.071095745
610,1.4686,4.50979E+18,0.14686,0.070908304
611,1.4611,4.49412E+18,0.14611,0.070661831
612,1.4831,4.56925E+18,0.14831,0.071843188
613,1.4621,4.51191E+18,0.14621,0.070941651
614,1.4176,4.38173E+18,0.14176,0.0688947
615,1.4697,4.55016E+18,0.14697,0.071543066
616,1.431,4.43755E+18,0.1431,0.069772468
617,1.4128,4.38823E+18,0.14128,0.068996902
618,1.4664,4.56209E+18,0.14664,0.071730633
619,1.4733,4.59098E+18,0.14733,0.07218477
